Node,NodeId,lat,long
A1 (37AC5D),37AC5D,40.68339,-77.90938
A2 (377CA0),377CA0,40.68185,-77.90923
A3 (378711),378711,40.68055,-77.90891
A4 (37AA63),37AA63,40.67904,-77.90862
A5 (375D67),375D67,40.67791,-77.90829
B1 (37EC13),37EC13,40.68332,-77.9077
B2 (3772AF),3772AF,40.68204,-77.90736
B3 (37817D),37817D,40.68073,-77.90717
B4 (3778F0),3778F0,40.6795,-77.90691
B5 (377D79),377D79,40.67805,-77.90665
C1 (376988),376988,40.68354,-77.90612
C2 (378075),378075,40.6824,-77.90569
C3 (3787B6),3787B6,40.68097,-77.90541
C4 (37A1F1),37A1F1,40.67966,-77.90502
C5 (377B06),377B06,40.67826,-77.90477
D1 (3778é4),3778E4,40.68373,-77.90429
D2 (377C27),377C27,40.68247,-77.90398
D3 (378B59),378B59,40.68126,-77.90386
D4 (37A9D1),37A9D1,40.67984,-77.90305
D5 (3783AD),3783AD,40.67847,-77.90313
E1 (3796EF),3796EF,40.6841,-77.9023
E2 (376D66),376D66,40.68264,-77.90208
E3 (376C8E),376C8E,40.6813,-77.90181
E4 (379760),379760,40.68014,-77.90178
E5 (3769EE),3769EE,40.67877,-77.90155
F1 (375E54),375E54,40.68412,-77.9007
F2 (379651),379651,40.68295,-77.90054
F3 (377ED8),377ED8,40.68168,-77.90031
F4 (37788C),37788C,40.68022,-77.89987
F5 (376A33),376A33,40.67887,-77.89969
